name,lat,lon,SB1804,SV1804,SB1805,SV1805,SB1806,SV1806,SB1807,SV1807,SB1808,SV1808,SB1809,SV1809,SB1810,SV1810,SB1811,SV1811,SB1812,SV1812,SB1813,SV1813,SB1814,SV1814,SB1815,SV1815,SB1816,SV1816,SB1817,SV1817,SB1818,SV1818,SB1819,SV1819,SB1820,SV1820,SB1821,SV1821,SB1822,SV1822,SB1823,SV1823,SB1824,SV1824,SB1825,SV1825,SB1826,SV1826,SB1827,SV1827,SB1828,SV1828,SB1829,SV1829,SB1830,SV1830,SB1831,SV1831,SB1832,SV1832,SB1833,SV1833,SB1834,SV1834,SB1835,SV1835,SB1836,SV1836,SB1837,SV1837,SB1838,SV1838,SB1839,SV1839,SB1840,SV1840,SB1841,SV1841,SB1842,SV1842,SB1843,SV1843,SB1844,SV1844,SB1845,SV1845,SB1846,SV1846,SB1847,SV1847,SB1848,SV1848,SB1849,SV1849,SB1850,SV1850,SB1851,SV1851,SB1852,SV1852,SB1853,SV1853,SB1854,SV1854,SB1855,SV1855,SB1856,SV1856,SB1857,SV1857,SB1858,SV1858,SB1859,SV1859,SB1860,SV1860,SB1861,SV1861,SB1862,SV1862,SB1863,SV1863,SB1864,SV1864,SB1865,SV1865,SB1866,SV1866,SB1867,SV1867,SB1868,SV1868,SB1869,SV1869,SB1870,SV1870,SB1871,SV1871,SB1872,SV1872,SB1873,SV1873,SB1874,SV1874,SB1875,SV1875,SB1876,SV1876,WB1804,WV1804,WB1805,WV1805,WB1806,WV1806,WB1807,WV1807,WB1808,WV1808,WB1809,WV1809,WB1810,WV1810,WB1811,WV1811,WB1812,WV1812,WB1813,WV1813,WB1814,WV1814,WB1815,WV1815,WB1816,WV1816,WB1817,WV1817,WB1818,WV1818,WB1819,WV1819,WB1820,WV1820,WB1821,WV1821,WB1822,WV1822,WB1823,WV1823,WB1824,WV1824,WB1825,WV1825,WB1826,WV1826,WB1827,WV1827,WB1828,WV1828,WB1829,WV1829,WB1830,WV1830,WB1831,WV1831,WB1832,WV1832,WB1833,WV1833,WB1834,WV1834,WB1835,WV1835,WB1836,WV1836,WB1837,WV1837,WB1838,WV1838,WB1839,WV1839,WB1840,WV1840,WB1841,WV1841,WB1842,WV1842,WB1843,WV1843,WB1844,WV1844,WB1845,WV1845,WB1846,WV1846,WB1847,WV1847,WB1848,WV1848,WB1849,WV1849,WB1850,WV1850,WB1851,WV1851,WB1852,WV1852,WB1853,WV1853,WB1854,WV1854,WB1855,WV1855,WB1856,WV1856,WB1857,WV1857,WB1858,WV1858,WB1859,WV1859,WB1860,WV1860,WB1861,WV1861,WB1862,WV1862,WB1863,WV1863,WB1864,WV1864,WB1865,WV1865,WB1866,WV1866,WB1867,WV1867,WB1868,WV1868,WB1869,WV1869,WB1870,WV1870,WB1871,WV1871,WB1872,WV1872,WB1873,WV1873,WB1874,WV1874,WB1875,WV1875,WB1876,WV1876,BP1804,BV1804,BP1805,BV1805,BP1806,BV1806,BP1807,BV1807,BP1808,BV1808,BP1809,BV1809,BP1810,BV1810,BP1811,BV1811,BP1812,BV1812,BP1813,BV1813,BP1814,BV1814,BP1815,BV1815,BP1816,BV1816,BP1817,BV1817,BP1818,BV1818,BP1819,BV1819,BP1820,BV1820,BP1821,BV1821,BP1822,BV1822,BP1823,BV1823,BP1824,BV1824,BP1825,BV1825,BP1826,BV1826,BP1827,BV1827,BP1828,BV1828,BP1829,BV1829,BP1830,BV1830,BP1831,BV1831,BP1832,BV1832,BP1833,BV1833,BP1834,BV1834,BP1835,BV1835,BP1836,BV1836,BP1837,BV1837,BP1838,BV1838,BP1839,BV1839,BP1840,BV1840,BP1841,BV1841,BP1842,BV1842,BP1843,BV1843,BP1844,BV1844,BP1845,BV1845,BP1846,BV1846,BP1847,BV1847,BP1848,BV1848,BP1849,BV1849,BP1850,BV1850,BP1851,BV1851,BP1852,BV1852,BP1853,BV1853,BP1854,BV1854,BP1855,BV1855,BP1856,BV1856,BP1857,BV1857,BP1858,BV1858,BP1859,BV1859,BP1860,BV1860,BP1861,BV1861,BP1862,BV1862,BP1863,BV1863,BP1864,BV1864,BP1865,BV1865,BP1866,BV1866,BP1867,BV1867,BP1868,BV1868,BP1869,BV1869,BP1870,BV1870,BP1871,BV1871,BP1872,BV1872,BP1873,BV1873,BP1874,BV1874,BP1875,BV1875,BP1876,BV1876,sperm_total,whale_total,bone_total
"Beverly, MA",42.5681,-70.8627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,870126.53,500,670645.675,920,1200047.31,550,723216.9175,1063,1543234.118,356,593691.766,182,287758.38,418,504837.7078,0,0,630,837758.1042,370,510975.1046,83,106523.4988,238,298426.3456,312,357753.6616,0,0,421,543846.267,448,684180.7636,20,28484.71667,250,316218,0,0,100,94768.31553,0,0,299,317899.7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1438.7919,50,30655.75401,8,4655.431667,0,0,373,289412.6686,30,20681.22188,0,0,1285,608256.0588,120,57973.3,70,30401.82315,40,20845.79327,0,0,0,0,206,171112.8924,124,89858.615,170,78566.36983,4,2160.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,208581.1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7810,2482,8500
"Boston, MA",42.367331,-71.051724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,179848.9875,1320,415475.3167,4560,1656790.673,2000,1092812.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,247158.8966,600,382096.75,0,0,0,0,0,0,0,0,0,0,0,0,600,479427.2903,1000,663330.8621,1340,794497.725,300,255868.3594,240,198765.6,555,475992.2684,120,113782.0125,0,0,90,103284.7043,560,749647.472,300,402387.405,427,556978.4798,255,335309.6618,291,422465.784,0,0,0,0,0,0,74,90750.51192,0,0,0,0,0,0,885,1109694.604,155,177730.1845,209,222056.2411,605,781536.797,203,310019.4085,1067,1519659.634,480,607138.56,2198,2625685.464,1207,1143853.568,513,491916.6263,2603,2767535.178,45,48585.57813,1392,1715389.645,1375,1762256.563,1550,1793343.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,229143.4783,1150,230575.625,2250,494090.625,0,0,2200,463786.4,1905,446218.7333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,319951.1292,2,472.5096552,1800,434799.75,0,0,0,0,0,0,0,0,0,0,0,0,1000,272015.4839,100,30894.86207,150,47997.375,0,0,70,21739.9875,20,6587.875,8,2710.44,0,0,0,0,0,0,0,0,0,0,160,98098.41283,4,2327.715833,0,0,0,0,0,0,195,106723.575,0,0,0,0,0,0,0,0,5,3391.865372,442,317204.7796,470,390403.2011,18,13043.9925,245,113228.0036,28,15125.761,208,139425.7865,326,152595.9888,155,72613.02222,1556,746025.6047,150,68349.20313,21,9846.935515,30,15631.23068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,4241.336667,0,0,18000,94865.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,5420.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,40070.20673,0,0,0,0,0,0,0,0,0,0,0,0,1100,30905.8903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29859,17018,22460
"Bridgeport, CT",41.1909,-73.1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,159852.8493,150,106229.4844,0,0,590,518246.1667,300,239713.6452,250,165832.7155,800,474327,360,307042.0313,0,0,405,347345.7094,400,379273.375,0,0,600,688564.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,265215.0968,1800,632436,3800,1030808.676,1900,500678.5,3250,963476.7188,2910,766828.65,3700,1006457.29,3450,1065872.741,2100,671963.25,5340,1838517.992,0,0,19560,6442941.75,1400,474327,0,0,7500,3155618.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,59712.75862,16800,162626.4,48000,516274.2857,0,0,60000,568857.7778,5000,41678.39286,0,0,46200,304359.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4105,57510,186000
"Bristol, RI",41.669836,-71.277006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292,1236264.153,2800,1637086.938,0,0,2500,1930928.879,3600,2292580.5,8300,5926537.355,3350,2380818.098,4803,3071092.94,2670,1890884.822,4540,3925550.016,2585,2270620.917,3380,2700773.735,702,465658.2652,620,367603.425,1500,1279341.797,1000,828190,1620,1389382.838,272,257905.895,700,709463.4615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,449622.4688,1800,578086.0313,3400,839954.0625,2950,608939.2458,4500,1063146.724,0,0,240,79564.52903,2350,825680.3333,3140,851773.4853,9780,2577176.7,6500,1926953.438,1240,326758.6,170,46242.63226,2427,749818.3024,0,0,1400,482008.4623,0,0,6100,2009301.875,130,44044.65,100,33446.13462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,4117.421875,0,0,0,0,15800,51548.55333,10000,33750.68966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,131368.069,0,0,14000,150580,0,0,28000,265466.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47234,48327,90500
"Bucksport, ME",44.571932,-68.790316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,72966.39483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0
"Chilmark, MA",41.342673,-70.743866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,68856.4695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12622.47391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,0
"Cold Spring Harbor, NY",40.8608,-73.4488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,440975.8828,90,79054.5,0,0,0,0,150,88936.3125,0,0,200,165638,550,471704.0498,200,189636.6875,345,349664.1346,299,343134.7397,300,401596.86,0,0,0,0,0,0,400,580708.9815,0,0,0,0,201,242756.8882,25,30658.95673,0,0,0,0,0,0,140,175544.9092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,461151.25,2600,685139,5490,1627534.519,1200,316218,4250,1156065.806,3700,1143109.897,3320,1062341.9,0,0,4900,1521799.125,9800,3228058.75,2900,982534.5,4325,1446545.322,14030,5903110.297,1600,828069.536,14250,6806098.359,0,0,2359,1446338.474,9657,5619687.951,4894,3283982.28,3146,2440998.004,371,255757.7772,4898,2680677.284,2091,989776.9797,1049,506783.2642,0,0,600,312686.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,167195.7241,23400,226515.3429,0,0,45000,290404.2857,61000,578338.7407,31000,258406.0357,25016,181101.4077,101500,668669.3125,2432,23730.44429,129214,1342536.044,0,0,34200,355338.684,108400,1184919.597,57960,705222.6075,12000,194080.8889,3100,80647.69018,75432,2015050.556,44495,1091861.157,21000,469642.2889,0,0,17056,376682.8971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3410,103130,820205
"Dartmouth, MA",41.607456,-70.967341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,79853.0303,300,151932.8672,250,134845.5664,0,0,0,0,1850,1428887.371,1500,955241.875,40,28561.62581,2050,1456918.538,1259,805018.9489,1450,1026885.016,0,0,548,481354.0667,2240,1789861.884,1150,762830.4914,0,0,0,0,1500,1242285,0,0,100,94818.34375,0,0,0,0,33,44175.6546,48,64381.9848,0,0,968,1272861.775,967,1403863.963,0,0,1127,1781888.43,1490,1799541.112,2787,3417860.496,2921,3884272.099,2916,4027036.23,1558,1999561.58,1591,1994942.503,0,0,500,531235.0266,1175,1517860.721,1486,2269403.158,35,49848.25417,95,120162.84,4262,5091297.291,0,0,0,0,3738,3974278.331,1322,1427336.317,0,0,0,0,1070,1237985.235,0,0,0,0,0,0,0,0,0,0,262,64634.06213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,217399.875,1400,464126.4194,2350,825680.3333,3370,914164.5368,1150,303042.25,0,0,0,0,0,0,800,247158.8966,0,0,0,0,200,62114.25,0,0,2000,677610,0,0,0,0,7,3622.80422,14,6686.693125,0,0,1920,1177180.954,8,4655.431667,0,0,1974,1531637.018,49,33779.32906,170,93041.06538,1069,506012.2388,1059,511614.3725,6,2605.870556,157,81819.73857,0,0,525,376770.383,70,58145.15761,3255,2358788.644,3,1386.46535,0,0,452,302982.9591,0,0,0,0,270,129451.7438,703,320329.932,0,0,0,0,3200,1475684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,31621.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,12906.85714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32500,337675.65,0,0,0,0,25000,404335.1852,0,0,0,0,5831,143086.693,4434,99161.61471,0,0,800,17668.05333,0,0,4200,121548.8168,0,0,39900,935358.4705,0,0,0,0,10240,237073.152,0,0,0,0,4104,110292.321,0,0,0,0,0,0,0,0,44486,27343,135009
"Dorchester, MA",42.299229,-71.061864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,355345.9848,3200,2046116.471,150,106229.4844,200,172931.7188,0,0,1800,1438281.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,439191.6667,450,122069.4485,1850,487502.75,1600,474327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5850,5150,0
